TARGET_ATTRIBUTE_ID,SOURCE_NAME,ATTRIBUTE_NAME,URL,VALUE,predicate_name
5300,www.price-hunt.com,all,http:///www.price-hunt.com/9545,3 inch tft lcd screen | full hd recording | f/3.4 - f/6.5 | with 3 inch lcd | 16.1 megapixels camera | focal length: 3.8 - 247 mm (35 mm film equivalent 21 - 1365 mm) | 16.1 megapixels | iso 100 - 3200 (auto),zoom_optical
5300,www.price-hunt.com,all,http:///www.price-hunt.com/9794,cmos image sensor | 16.2 megapixels | cmos | full hd recording | with 3.2 inch lcd | 3.2 inch tft lcd | iso 50 - iso 12800 sensitivity | 16.2 megapixel camera,zoom_optical
5300,www.price-hunt.com,all,http:///www.price-hunt.com/891,cmos image sensor | 18 megapixels | 3 inch tft lcd screen | full hd recording | cmos | iso 100 - 6400 | with 3 inch lcd | 18 megapixel camera,zoom_optical
5300,www.price-hunt.com,all,http:///www.price-hunt.com/9649,full hd recording | 24.2 megapixel camera | iso 100 - iso 6400 sensitivity | cmos | 35 mm equivalent focal length: 27 - 82.5 mm | f/3.0 - f/5.6 aperture | cmos image sensor | 3 inch tft lcd | 24.2 megapixels | with 3 inch lcd,zoom_optical
5300,www.price-hunt.com,all,http:///www.price-hunt.com/9718,14.1 | with 2.7 lcd | optical zoom: 5x,zoom_optical
5300,www.price-hunt.com,all,http:///www.price-hunt.com/883,"liquid-crystal monitor | 22.30 megapixels | cmos | with 3.2 inch lcd | 22.30 megapixel camera, iso 100 - iso 12800 sensitivity | cmos image sensor | full hd recording | 3.2 inch tft color",zoom_optical
5300,www.price-hunt.com,all,http:///www.price-hunt.com/906,"12.1 megapixel camera | cmos image sensor | 3 inch low-temperature polysilicon tft lcd screen | 12.1 megapixels | with 3 inch lcd | interchangeable lens camera, slr | hd recording | iso 200 - iso 12800 sensitivity | cmos",zoom_optical
5300,www.cambuy.com.au,lens,http:///www.cambuy.com.au/73,nikkor lens with 12x optical zoom,zoom_optical
5300,www.cambuy.com.au,lens,http:///www.cambuy.com.au/64,nikkor lens with 12x optical zoom,zoom_optical
5300,www.cambuy.com.au,lens,http:///www.cambuy.com.au/125,nikkor lens with 12x optical zoom,zoom_optical
5300,www.cambuy.com.au,lens,http:///www.cambuy.com.au/152,nikkor lens with 30x optical zoom,zoom_optical
5300,www.cambuy.com.au,lens,http:///www.cambuy.com.au/140,nikkor lens with 3x optical zoom,zoom_optical
